state,County,listings,Most Recent Report,Last Posted
AL,Autauga,1.0,8-1985,12-1997
AL,Baldwin,2.0,11-2021,11-2021
AL,Barbour,1.0,1-1980,2-2010
AL,Bibb,1.0,9-2007,9-2007
AL,Blount,4.0,4-2014,1-2016
AL,Bullock,,,
AL,Butler,,,
AL,Calhoun,1.0,,4-1938
AL,Cherokee,1.0,6-2014,1-2015
AL,Chilton,5.0,10-2013,1-2014
AL,Choctaw,,,
AL,Clarke,4.0,7-2015,3-2016
AL,Clay,2.0,11-2013,12-2013
AL,Cleburne,3.0,2-2023,2-2023
AL,Coffee,1.0,1-2013,4-2015
AL,Colbert,3.0,12-2014,5-2015
AL,Conecuh,3.0,8-2004,7-2016
AL,Coosa,,,
AL,Covington,2.0,9-2007,12-2013
AL,Crenshaw,,,
AL,Cullman,2.0,6-2014,1-2015
AL,Dale,2.0,4-2011,6-2012
AL,Dallas,2.0,9-2006,9-2006
AL,De Kalb,,,
AL,Elmore,,,
AL,Escambia,1.0,10-1983,12-2013
AL,Etowa,2.0,1-2013,12-2013
AL,Fayette,,,
AL,Franklin,2.0,3-2009,5-2009
AL,Geneva,,,
AL,Greene,,,
AL,Hale,,,
AL,Henry,2.0,12-2014,3-2015
AZ,Apache,11.0,6-2021,6-2021
AZ,Cochise,2.0,10-2000,11-2008
AZ,Coconino,34.0,6-2016,10-2017
AZ,Gila,6.0,11-2006,1-2012
AZ,Graham,8.0,6-2013,5-2014
AZ,Greenlee,1.0,9-1993,5-2005
AZ,La Paz,,,
AZ,Maricopa,6.0,7-2008,2-2014
AR,Arkansas,,,
AR,Ashley,,,
AR,Baxter,6.0,2-2009,9-2016
AR,Benton,3.0,4-2004,4-2004
AR,Boone,,,
AR,Bradley,,,
AR,Calhoun,,,
AR,Carroll,3.0,6-2001,3-2020
AR,Chicot,1.0,7-2012,11-2012
AR,Clark,2.0,9-1996,1-2003
AR,Clay,,,
AR,Cleburne,,,
AR,Cleveland,2.0,6-2003,10-2008
AR,Columbia,,,
AR,Conway,1.0,8-2017,3-2018
AR,Craighead,,,
AR,Crawford,1.0,3-2010,6-2010
AR,Crittenden,3.0,6-2006,12-2018
AR,Cross,,,
AR,Dallas,,,
AR,Desha,2.0,5-2001,2-2020
AR,Drew,1.0,12-2011,3-2013
AR,Faulkner,1.0,4-2010,7-2011
AR,Franklin,,,
AR,Fulton,2.0,1-2008,3-2014
AR,Garland,1.0,6-1992,11-2008
AR,Grant,1.0,4-1973,7-2017
AR,Greene,3.0,1-1988,8-2001
AR,Hempstead,1.0,5-1978,5-2019
AR,Hot Spring,6.0,4-2012,1-2013
AR,Howard,,,
AR,Independence,3.0,11-2011,12-2014
AR,Izard,,,
AR,Jackson,1.0,7-1986,12-2004
AR,Jefferson,,,
AR,Johnson,,,
AR,Lafayette,,,
AR,Lawrence,1.0,12-2012,3-2025
CA,Alameda,2.0,5-1990,11-2020
CA,Alpine,9.0,9-2012,3-2013
CA,Amador,1.0,10-2010,10-2010
CA,Butte,7.0,9-2004,12-2009
CA,Calaveras,9.0,10-2024,10-2024
CA,Colusa,,,
CA,Contra Costa,1.0,2-2000,11-2000
CA,Del Norte,29.0,3-2019,11-2020
CA,El Dorado,26.0,10-2022,11-2022
CA,Fresno,19.0,5-2015,10-2017
CA,Glenn,,,
CA,Humboldt,48.0,9-2024,9-2024
CA,Imperial,1.0,3-2004,4-2004
CA,Inyo,6.0,11-2018,1-2021
CA,Kern,12.0,6-2010,7-2010
CA,Kings,,,
CA,Lake,1.0,8-2002,7-2005
CA,Lassen,4.0,8-2022,8-2022
CA,Los Angeles,20.0,5-2010,6-2010
CA,Madera,1.0,10-1988,
CA,Marin,,,
CA,Mariposa,3.0,8-1992,1-2006
CA,Mendocino,14.0,7-2008,1-2009
CA,Merced,,,
CA,Modoc,3.0,3-2001,4-2001
CA,Mono,16.0,7-2020,8-2020
CA,Monterey,4.0,2-2002,3-2006
CA,Napa,1.0,7-1989,6-2000
CA,Nevada,11.0,7-2006,5-2009
CO,Adams,,,
CO,Alamosa,1.0,8-2000,1-2001
CO,Arapahoe,,,
CO,Archuleta,3.0,6-2004,4-2005
CO,Baca,,,
CO,Bent,,,
CO,Boulder,4.0,3-2025,3-2025
CO,Chaffee,4.0,5-2020,1-2021
CO,Cheyenne,,,
CO,Clear Creek,1.0,8-2000,10-2000
CO,Conejos,8.0,6-2009,5-2010
CO,Costilla,3.0,10-2011,6-2012
CO,Crowley,,,
CO,Custer,1.0,7-1998,3-2008
CO,Delta,1.0,9-1994,9-2004
CO,Denver,,,
CO,Dolores,1.0,8-2003,8-2003
CO,Douglas,3.0,10-2005,4-2006
CO,Eagle,6.0,1-2013,3-2013
